OBJECTID,AAC,District Number,DIST_NAME,State Code,Source,Fire Behaviour Index,Fire Danger,Forecast_Period,Start_Time,End_Time,Start_Time_UTC_str,End_Time_UTC_str
1,NSW_FW001,1,Far North Coast,NSW,RFS,8,No Rating,1,5/5/2026 7:50:00 PM,5/6/2026 2:00:00 PM,2026-05-05T19:50:00Z,2026-05-06T14:00:00Z
2,NSW_FW002,2,North Coast,NSW,RFS,12,Moderate,1,5/5/2026 7:50:00 PM,5/6/2026 2:00:00 PM,2026-05-05T19:50:00Z,2026-05-06T14:00:00Z
3,NSW_FW003,3,Greater Hunter,NSW,RFS,12,Moderate,1,5/5/2026 7:50:00 PM,5/6/2026 2:00:00 PM,2026-05-05T19:50:00Z,2026-05-06T14:00:00Z
4,NSW_FW004,4,Greater Sydney Region,NSW,RFS,12,Moderate,1,5/5/2026 7:50:00 PM,5/6/2026 2:00:00 PM,2026-05-05T19:50:00Z,2026-05-06T14:00:00Z
5,NSW_FW005,5,Illawarra/Shoalhaven,NSW,RFS,12,Moderate,1,5/5/2026 7:50:00 PM,5/6/2026 2:00:00 PM,2026-05-05T19:50:00Z,2026-05-06T14:00:00Z
6,NSW_FW006,6,Far South Coast,NSW,RFS,10,No Rating,1,5/5/2026 7:50:00 PM,5/6/2026 2:00:00 PM,2026-05-05T19:50:00Z,2026-05-06T14:00:00Z
7,NSW_FW007,7,Monaro Alpine,NSW,RFS,12,Moderate,1,5/5/2026 7:50:00 PM,5/6/2026 2:00:00 PM,2026-05-05T19:50:00Z,2026-05-06T14:00:00Z
8,NSW_FW008,8,Australian Capital Territory,ACT,RFS,10,No Rating,1,5/5/2026 7:50:00 PM,5/6/2026 2:00:00 PM,2026-05-05T19:50:00Z,2026-05-06T14:00:00Z
9,NSW_FW009,9,Southern Ranges,NSW,RFS,13,Moderate,1,5/5/2026 7:50:00 PM,5/6/2026 2:00:00 PM,2026-05-05T19:50:00Z,2026-05-06T14:00:00Z
10,NSW_FW010,10,Central Ranges,NSW,RFS,12,Moderate,1,5/5/2026 7:50:00 PM,5/6/2026 2:00:00 PM,2026-05-05T19:50:00Z,2026-05-06T14:00:00Z
11,NSW_FW011,11,New England,NSW,RFS,11,No Rating,1,5/5/2026 7:50:00 PM,5/6/2026 2:00:00 PM,2026-05-05T19:50:00Z,2026-05-06T14:00:00Z
12,NSW_FW012,12,Northern Slopes,NSW,RFS,15,Moderate,1,5/5/2026 7:50:00 PM,5/6/2026 2:00:00 PM,2026-05-05T19:50:00Z,2026-05-06T14:00:00Z
